Epoch,Balanced Accuracy,Accuracy,Pose Loss,Pose Recall Neg,Pose Recall Pos,MCC,PR AUC,MAE,RMSE,Pearson R,Spearman Rho,C-index,EF_1pct,EF_5pct,Success_at_1,Success_at_5,Success_at_10,Affinity Loss
2,0.50000,0.12446,1.85532,0.00000,1.00000,0.00000,0.17621,1.87977,2.27282,-0.19252,-0.20373,0.43446,1.37778,1.21156,0.00000,0.00000,1.00000,1.51663
4,0.57138,0.44947,0.75256,0.40907,0.73369,0.09657,0.15563,2.06051,2.51532,-0.19716,-0.20087,0.43540,0.91423,1.05173,0.00000,0.00000,0.00000,1.71682
6,0.59387,0.72489,0.64460,0.76831,0.41944,0.14218,0.20691,1.34911,1.68597,0.62820,0.63588,0.72866,1.10738,1.03111,0.00000,1.00000,1.00000,0.99126
8,0.57406,0.72126,0.64956,0.77005,0.37806,0.11316,0.18387,1.23704,1.55316,0.65157,0.66021,0.73842,1.37778,1.21413,0.00000,0.00000,0.00000,0.87519
10,0.52042,0.16487,1.13496,0.04703,0.99381,0.06726,0.29782,1.50837,1.87282,0.63983,0.64976,0.73200,1.73833,1.45902,0.00000,0.00000,1.00000,1.15304
12,0.62696,0.37882,0.79103,0.29659,0.95733,0.18993,0.32614,1.36230,1.70646,0.65990,0.67594,0.74202,1.98298,1.46676,1.00000,1.00000,1.00000,1.00895
14,0.66239,0.45326,0.73513,0.38395,0.94084,0.22577,0.35557,1.21625,1.54283,0.68747,0.69741,0.75244,1.95723,1.72196,0.00000,1.00000,1.00000,0.86136
16,0.70379,0.79538,0.52796,0.82573,0.58185,0.32220,0.34160,1.37983,1.72791,0.67550,0.68120,0.74200,2.42078,1.92560,1.00000,1.00000,1.00000,1.02501
18,0.71787,0.62369,0.68840,0.59248,0.84326,0.28852,0.36690,1.20834,1.53498,0.70438,0.71534,0.75808,2.22763,1.50284,0.00000,1.00000,1.00000,0.85691
20,0.59329,0.30185,0.87301,0.20527,0.98131,0.15961,0.36832,1.17123,1.48494,0.71285,0.72314,0.76502,2.54955,1.43840,0.00000,1.00000,1.00000,0.82216
22,0.71493,0.80385,0.54090,0.83332,0.59655,0.34245,0.37077,1.18301,1.49540,0.71404,0.71949,0.76002,3.09036,1.88693,0.00000,0.00000,1.00000,0.82803
24,0.50444,0.13233,1.12182,0.00901,0.99987,0.03311,0.34373,1.40639,1.73788,0.57987,0.55898,0.69542,2.40790,1.67298,1.00000,1.00000,1.00000,1.04547
