Epoch,Balanced Accuracy,Accuracy,Pose Loss,Pose Recall Neg,Pose Recall Pos,MCC,PR AUC,MAE,RMSE,Pearson R,Spearman Rho,C-index,EF_1pct,EF_5pct,Success_at_1,Success_at_5,Success_at_10,Affinity Loss
2,0.67423,0.58659,0.69513,0.55754,0.79093,0.23015,0.22179,4.30063,4.76890,0.11016,0.10572,0.53334,1.59669,1.67298,1.00000,1.00000,1.00000,3.99461
4,0.71760,0.57414,0.68548,0.52660,0.90861,0.28776,0.39894,3.18613,3.75519,0.08598,0.07515,0.52366,2.12462,1.79156,0.00000,1.00000,1.00000,2.87509
6,0.64944,0.40889,0.78085,0.32917,0.96971,0.21699,0.40840,1.74934,2.11057,0.63073,0.63483,0.72652,1.57093,1.23991,0.00000,0.00000,1.00000,1.39098
8,0.73088,0.79228,0.56456,0.81263,0.64914,0.35450,0.42236,1.24405,1.55492,0.66229,0.66369,0.73868,2.40790,1.73742,0.00000,1.00000,1.00000,0.88228
10,0.76475,0.64323,0.63326,0.60296,0.92653,0.35054,0.52109,1.29888,1.61752,0.68833,0.70205,0.75308,3.25775,1.59822,1.00000,1.00000,1.00000,0.94615
12,0.52710,0.17249,1.06932,0.05497,0.99923,0.08350,0.43534,1.12923,1.44399,0.71348,0.71937,0.76130,3.29638,1.47449,1.00000,1.00000,1.00000,0.77565
14,0.72792,0.55261,0.69741,0.49451,0.96133,0.30331,0.55963,1.16363,1.46322,0.71642,0.72165,0.76068,3.33501,1.80702,0.00000,1.00000,1.00000,0.80967
16,0.60730,0.31709,0.91486,0.22092,0.99368,0.17907,0.52825,1.41559,1.75992,0.70895,0.71049,0.75282,2.97447,2.08027,1.00000,1.00000,1.00000,1.05117
18,0.73103,0.54953,0.69115,0.48938,0.97267,0.30792,0.60183,1.20677,1.53013,0.70600,0.72902,0.76656,3.63117,1.82764,1.00000,1.00000,1.00000,0.85175
20,0.61581,0.33054,0.94299,0.23600,0.99562,0.18865,0.55192,1.33261,1.67562,0.69133,0.72579,0.76696,3.55391,1.82764,0.00000,0.00000,0.00000,0.97944
22,0.61105,0.32114,0.85564,0.22506,0.99704,0.18418,0.59474,1.08396,1.38304,0.75235,0.75801,0.77888,3.86295,1.52604,1.00000,1.00000,1.00000,0.73493
24,0.75389,0.60719,0.66524,0.55857,0.94921,0.33525,0.57533,1.33451,1.66081,0.74838,0.75742,0.77654,3.68268,1.60596,0.00000,1.00000,1.00000,0.97750
26,0.81758,0.78997,0.45913,0.78082,0.85434,0.45831,0.61720,1.02996,1.30327,0.77843,0.78362,0.79404,4.01747,1.94880,0.00000,1.00000,1.00000,0.68161
28,0.82439,0.85814,0.34325,0.86932,0.77945,0.52450,0.63649,1.17560,1.46670,0.73418,0.73559,0.77082,3.18049,1.50027,1.00000,1.00000,1.00000,0.81531
30,0.78821,0.65605,0.58714,0.61225,0.96417,0.38181,0.64627,1.18862,1.50978,0.72459,0.73423,0.76914,3.16762,2.67573,1.00000,1.00000,1.00000,0.83608
32,0.80677,0.75216,0.51355,0.73406,0.87948,0.42685,0.59062,1.31112,1.65304,0.73962,0.74574,0.77086,3.48953,2.33031,1.00000,1.00000,1.00000,0.96180
34,0.78365,0.64012,0.63180,0.59256,0.97474,0.37489,0.66906,1.05931,1.33877,0.76907,0.76803,0.78544,2.87146,1.82764,1.00000,1.00000,1.00000,0.70533
36,0.56821,0.24506,1.00232,0.13797,0.99845,0.13809,0.60551,0.99422,1.27522,0.78793,0.79319,0.79392,2.91009,1.50284,0.00000,1.00000,1.00000,0.64594
38,0.82021,0.82061,0.39320,0.82075,0.81967,0.48259,0.60554,1.05123,1.32727,0.78496,0.79192,0.79554,2.89721,1.62400,1.00000,1.00000,1.00000,0.70189
40,0.75902,0.81173,0.41355,0.82920,0.68884,0.40315,0.49779,1.15683,1.45761,0.76005,0.76235,0.78176,3.39939,2.69636,0.00000,1.00000,1.00000,0.80462
