Epoch,Balanced Accuracy,Accuracy,Pose Loss,Pose Recall Neg,Pose Recall Pos,MCC,PR AUC,MAE,RMSE,Pearson R,Spearman Rho,C-index,EF_1pct,EF_5pct,Success_at_1,Success_at_5,Success_at_10,Affinity Loss
2,0.49862,0.87091,0.50794,0.99428,0.00296,-0.01243,0.13054,4.26363,4.72888,0.11705,0.11633,0.53886,1.64819,1.61884,0.00000,1.00000,1.00000,3.95606
4,0.54350,0.20895,0.88844,0.09808,0.98891,0.10176,0.29010,4.06071,4.51548,0.22968,0.22680,0.57756,1.48080,1.64978,1.00000,1.00000,1.00000,3.76000
6,0.72727,0.66242,0.65922,0.64093,0.81361,0.30445,0.34284,1.41696,1.75049,0.59562,0.59607,0.70898,1.95723,1.78382,0.00000,1.00000,1.00000,1.05828
8,0.57002,0.25830,0.94722,0.15499,0.98505,0.13421,0.33174,1.35560,1.68186,0.66491,0.67443,0.74120,1.94435,1.44098,0.00000,0.00000,1.00000,0.99540
10,0.72854,0.79370,0.49551,0.81529,0.64179,0.35249,0.37739,1.63067,1.99958,0.64933,0.66832,0.73926,2.85858,1.82764,0.00000,1.00000,1.00000,1.27788
12,0.51275,0.14871,1.01996,0.02807,0.99742,0.05401,0.30146,1.55287,1.90690,0.64576,0.69633,0.75300,3.30926,1.64978,1.00000,1.00000,1.00000,1.19590
14,0.67597,0.47258,0.75340,0.40517,0.94676,0.24183,0.42004,1.24081,1.54149,0.70034,0.70610,0.75502,3.61829,1.61369,0.00000,1.00000,1.00000,0.87965
16,0.63440,0.37501,0.88988,0.28904,0.97976,0.20343,0.43537,1.23148,1.55745,0.70206,0.71419,0.76090,3.77281,2.08284,1.00000,1.00000,1.00000,0.88116
18,0.61193,0.87715,0.50208,0.96504,0.25883,0.30456,0.40615,1.14295,1.44835,0.72223,0.72974,0.76792,2.94872,1.53120,1.00000,1.00000,1.00000,0.78757
20,0.60667,0.31841,0.93236,0.22288,0.99046,0.17729,0.45284,1.15054,1.45066,0.73457,0.74234,0.77304,3.51528,1.84569,1.00000,1.00000,1.00000,0.80053
