Epoch,Balanced Accuracy,Accuracy,Pose Loss,Pose Recall Neg,Pose Recall Pos,MCC,PR AUC,MAE,RMSE,Pearson R,Spearman Rho,C-index,EF_1pct,EF_5pct,Success_at_1,Success_at_5,Success_at_10,Affinity Loss
2,0.51870,0.16689,0.90000,0.05030,0.98711,0.05916,0.25094,1.68995,2.05227,0.00940,0.01165,0.50776,2.53667,2.33547,0.00000,1.00000,1.00000,1.32719
4,0.53589,0.19950,0.82604,0.08802,0.98376,0.08780,0.28151,1.68859,2.04590,0.07191,0.07456,0.52805,2.62680,2.32258,0.00000,1.00000,1.00000,1.32578
6,0.55090,0.23391,0.79945,0.12886,0.97293,0.10486,0.28383,1.26932,1.58410,0.63926,0.64646,0.73176,1.35203,0.99244,0.00000,0.00000,0.00000,0.90896
8,0.59161,0.32390,0.78663,0.23517,0.94805,0.14789,0.29295,1.20774,1.51089,0.68535,0.69178,0.74792,2.04736,1.67298,0.00000,1.00000,1.00000,0.84842
10,0.62708,0.40555,0.74744,0.33214,0.92202,0.18299,0.32532,1.15620,1.44305,0.71172,0.71212,0.75756,3.03885,2.05964,0.00000,1.00000,1.00000,0.79806
12,0.53754,0.19793,0.83167,0.08538,0.98969,0.09349,0.33942,1.20967,1.50998,0.71937,0.71920,0.76292,2.94872,1.78898,1.00000,1.00000,1.00000,0.85289
14,0.64001,0.41474,0.75889,0.34009,0.93993,0.20073,0.35736,1.11928,1.41009,0.73514,0.73320,0.76846,3.41227,1.95396,0.00000,1.00000,1.00000,0.76520
16,0.64081,0.42069,0.75764,0.34775,0.93387,0.20053,0.36867,1.11299,1.39525,0.74008,0.73761,0.77048,3.85007,2.18596,0.00000,1.00000,1.00000,0.75682
18,0.68232,0.51507,0.71584,0.45964,0.90500,0.24436,0.38480,1.07519,1.35665,0.74937,0.74706,0.77686,3.48953,1.84569,1.00000,1.00000,1.00000,0.72030
20,0.57833,0.27498,0.83908,0.17445,0.98221,0.14291,0.38495,1.07356,1.35211,0.75337,0.75049,0.77756,3.54104,1.94107,0.00000,1.00000,1.00000,0.72134
22,0.66553,0.46301,0.72928,0.39590,0.93516,0.22843,0.39768,1.08536,1.36141,0.75671,0.75555,0.77848,3.57967,2.02356,1.00000,1.00000,1.00000,0.73095
24,0.69816,0.54319,0.69494,0.49184,0.90449,0.26340,0.40533,1.04494,1.32583,0.76387,0.75984,0.78064,3.79857,1.95138,1.00000,1.00000,1.00000,0.69471
26,0.64992,0.41845,0.75290,0.34174,0.95811,0.21510,0.41521,1.03131,1.30485,0.77272,0.77174,0.78562,3.45090,1.66009,1.00000,1.00000,1.00000,0.67817
28,0.71776,0.58612,0.67984,0.54250,0.89301,0.28761,0.40938,1.01332,1.29061,0.77696,0.77400,0.78876,3.23200,1.69360,1.00000,1.00000,1.00000,0.66330
30,0.68687,0.50124,0.72527,0.43973,0.93400,0.25257,0.42091,1.00745,1.27911,0.78394,0.78057,0.78794,3.38652,1.71422,1.00000,1.00000,1.00000,0.65851
32,0.72520,0.61901,0.64355,0.58382,0.86659,0.29782,0.41221,0.98685,1.25302,0.79318,0.79102,0.79732,3.64405,1.74516,1.00000,1.00000,1.00000,0.63831
34,0.70380,0.53912,0.70206,0.48454,0.92305,0.27148,0.42331,0.96884,1.24015,0.79562,0.79140,0.79772,3.94021,1.95138,1.00000,1.00000,1.00000,0.62320
36,0.69313,0.50756,0.71270,0.44607,0.94019,0.26049,0.42475,1.02762,1.30036,0.79435,0.79466,0.79848,3.61829,1.84053,1.00000,1.00000,1.00000,0.68097
38,0.70429,0.53147,0.69565,0.47419,0.93439,0.27298,0.44083,0.95423,1.21869,0.80439,0.80262,0.80268,3.81144,2.02871,1.00000,1.00000,1.00000,0.61015
40,0.65243,0.41404,0.79535,0.33503,0.96984,0.22023,0.43934,0.94618,1.21202,0.80638,0.80466,0.80568,3.78569,2.07511,1.00000,1.00000,1.00000,0.60502
42,0.71505,0.55176,0.69378,0.49765,0.93246,0.28575,0.44467,0.94195,1.20533,0.81165,0.80979,0.80872,3.56679,2.00809,1.00000,1.00000,1.00000,0.60077
44,0.73030,0.59182,0.66864,0.54593,0.91467,0.30417,0.44209,0.91962,1.18631,0.81681,0.81475,0.81036,3.12899,1.85342,1.00000,1.00000,1.00000,0.58078
46,0.71096,0.53472,0.70975,0.47632,0.94560,0.28185,0.45344,0.94358,1.20801,0.81494,0.81179,0.81128,3.14186,1.76062,1.00000,1.00000,1.00000,0.60513
48,0.71898,0.55787,0.68455,0.50448,0.93349,0.29061,0.45871,0.92248,1.19263,0.82133,0.81810,0.81342,3.20625,1.84053,1.00000,1.00000,1.00000,0.58524
50,0.67884,0.46346,0.74806,0.39209,0.96558,0.24794,0.46246,0.93092,1.20407,0.82473,0.82164,0.81298,2.89721,1.76062,1.00000,1.00000,1.00000,0.59607
52,0.70560,0.51730,0.71223,0.45490,0.95630,0.27665,0.46511,0.88370,1.14454,0.83037,0.82726,0.81716,3.09036,1.84053,1.00000,1.00000,1.00000,0.55072
54,0.72471,0.56461,0.68926,0.51155,0.93787,0.29789,0.45483,0.86840,1.13065,0.83360,0.83238,0.82242,2.97447,1.53378,0.00000,1.00000,1.00000,0.53443
56,0.74104,0.59718,0.65864,0.54950,0.93259,0.31834,0.47911,0.86313,1.12238,0.83976,0.83593,0.82294,2.93584,1.79671,1.00000,1.00000,1.00000,0.53217
58,0.71788,0.54201,0.69668,0.48372,0.95205,0.29060,0.47329,0.84230,1.10135,0.84337,0.84078,0.82496,3.11611,1.87404,1.00000,1.00000,1.00000,0.51553
60,0.73948,0.59541,0.65894,0.54767,0.93130,0.31630,0.47218,0.84972,1.10766,0.84196,0.84153,0.82636,3.02598,1.85600,1.00000,1.00000,1.00000,0.51916
62,0.75711,0.65068,0.62548,0.61541,0.89881,0.34130,0.48049,0.83610,1.09892,0.84394,0.84384,0.82718,3.03885,1.58791,0.00000,1.00000,1.00000,0.50949
