Epoch,Balanced Accuracy,Accuracy,Pose Loss,Pose Recall Neg,Pose Recall Pos,MCC,PR AUC,MAE,RMSE,Pearson R,Spearman Rho,C-index,EF_1pct,EF_5pct,Success_at_1,Success_at_5,Success_at_10,Affinity Loss
2,0.55522,0.22986,0.81954,0.12172,0.98872,0.11759,0.34848,1.67375,2.02622,0.03887,0.04280,0.51562,1.42110,1.17131,0.00000,0.00000,0.00000,1.31033
4,0.63317,0.37955,0.78755,0.29525,0.97109,0.20013,0.44112,1.67557,2.02923,-0.08441,-0.05315,0.48091,3.02756,1.75851,0.00000,0.00000,1.00000,1.31877
6,0.65121,0.42691,0.75778,0.35235,0.95007,0.21519,0.38600,1.19609,1.50981,0.67931,0.68796,0.74834,3.42917,1.78324,1.00000,1.00000,1.00000,0.83940
8,0.73817,0.61603,0.64733,0.57543,0.90091,0.31495,0.43730,1.16966,1.47170,0.70319,0.70957,0.75944,3.55275,2.24682,1.00000,1.00000,1.00000,0.81263
10,0.75759,0.69040,0.59303,0.66807,0.84712,0.34804,0.46103,1.13679,1.41963,0.72151,0.71967,0.76354,3.92347,2.23137,1.00000,1.00000,1.00000,0.78339
12,0.72537,0.56914,0.68048,0.51721,0.93353,0.29878,0.46610,1.08885,1.37403,0.73598,0.73771,0.77258,3.49096,1.96249,1.00000,1.00000,1.00000,0.73738
14,0.72758,0.56756,0.67732,0.51434,0.94079,0.30186,0.48050,1.06942,1.35240,0.74991,0.74891,0.77680,3.62998,2.05830,1.00000,1.00000,1.00000,0.71516
16,0.71822,0.55036,0.68473,0.49456,0.94188,0.29051,0.45892,1.19232,1.49572,0.76180,0.76224,0.78414,3.05845,1.83269,1.00000,1.00000,1.00000,0.83954
18,0.66861,0.43543,0.77225,0.35793,0.97929,0.23969,0.48735,1.04410,1.32229,0.76120,0.75649,0.78328,3.07390,1.73379,1.00000,1.00000,1.00000,0.69405
20,0.77720,0.71765,0.55020,0.69785,0.85655,0.37915,0.49747,1.02502,1.31337,0.77638,0.77452,0.78916,3.21292,1.99030,1.00000,1.00000,1.00000,0.68617
