Epoch,Balanced Accuracy,Accuracy,Pose Loss,Pose Recall Neg,Pose Recall Pos,MCC,PR AUC,MAE,RMSE,Pearson R,Spearman Rho,C-index,EF_1pct,EF_5pct,Success_at_1,Success_at_5,Success_at_10,Affinity Loss
2,0.50000,0.87554,0.61812,1.00000,0.00000,0.00000,0.10450,13.65779,13.80982,0.14692,0.12870,0.54831,1.40354,1.47707,0.00000,0.00000,1.00000,13.64709
4,0.50000,0.87554,0.56266,1.00000,0.00000,0.00000,0.16066,12.85264,13.00014,0.33123,0.34997,0.61408,0.72108,0.75271,0.00000,0.00000,0.00000,12.80475
6,0.50225,0.12965,1.70377,0.00617,0.99832,0.01988,0.23857,5.47779,5.80185,0.35381,0.39708,0.63068,1.40354,1.23733,0.00000,0.00000,1.00000,5.20322
8,0.50407,0.13265,1.07949,0.00956,0.99858,0.02921,0.29549,2.46016,2.86730,0.61237,0.60939,0.71770,1.97010,1.50284,0.00000,0.00000,0.00000,2.10724
10,0.52238,0.16703,0.94666,0.04927,0.99549,0.07227,0.30161,1.47267,1.83144,0.59395,0.59720,0.70826,3.33501,1.96169,1.00000,1.00000,1.00000,1.11961
12,0.50743,0.13776,1.10892,0.01524,0.99961,0.04266,0.25963,2.11873,2.57076,0.51894,0.50669,0.67516,2.74269,1.86373,1.00000,1.00000,1.00000,1.76893
14,0.55259,0.22275,0.85940,0.11344,0.99175,0.11556,0.27176,1.61397,2.00131,0.47983,0.47097,0.66258,2.80708,2.36898,1.00000,1.00000,1.00000,1.26027
16,0.69014,0.64059,0.64412,0.62416,0.75612,0.25408,0.31507,1.28999,1.61858,0.67371,0.68073,0.74338,3.54104,3.05209,1.00000,1.00000,1.00000,0.93686
18,0.51950,0.16238,1.05395,0.04403,0.99497,0.06636,0.26780,1.29240,1.62702,0.65764,0.66155,0.73910,2.72982,1.66009,1.00000,1.00000,1.00000,0.93525
20,0.53457,0.18896,0.92533,0.07443,0.99472,0.09204,0.29341,1.68563,2.09703,0.38801,0.37108,0.62322,2.75557,2.44116,1.00000,1.00000,1.00000,1.32796
22,0.59072,0.29667,0.81725,0.19922,0.98221,0.15705,0.34050,1.39896,1.73225,0.53975,0.53374,0.68694,1.75120,1.79671,0.00000,0.00000,0.00000,1.03030
