Epoch,Balanced Accuracy,Accuracy,Pose Loss,Pose Recall Neg,Pose Recall Pos,MCC,PR AUC,MAE,RMSE,Pearson R,Spearman Rho,C-index,EF_1pct,EF_5pct,Success_at_1,Success_at_5,Success_at_10,Affinity Loss
2,0.50000,0.12446,0.80607,0.00000,1.00000,0.00000,0.25043,12.86832,13.03023,-0.08000,-0.07039,0.47761,0.32191,0.42018,0.00000,0.00000,0.00000,12.83433
4,0.50000,0.12446,0.86402,0.00000,1.00000,0.00000,0.25428,13.06119,13.22029,0.07459,0.08911,0.52960,1.67394,1.42036,0.00000,0.00000,0.00000,13.02863
6,0.50000,0.12446,0.85301,0.00000,1.00000,0.00000,0.14316,1.67614,2.05332,0.58569,0.60148,0.71190,1.76408,1.26827,0.00000,0.00000,0.00000,1.32139
8,0.50000,0.12446,0.86726,0.00000,1.00000,0.00000,0.16883,1.28283,1.60402,0.62504,0.63177,0.72500,1.57093,1.34560,1.00000,1.00000,1.00000,0.92030
10,0.50000,0.12446,0.87025,0.00000,1.00000,0.00000,0.20099,1.23526,1.54924,0.65918,0.66644,0.73966,1.91860,1.41778,0.00000,1.00000,1.00000,0.87452
12,0.50000,0.12446,0.84443,0.00000,1.00000,0.00000,0.19689,1.20425,1.51151,0.67524,0.68066,0.74840,1.76408,1.44613,0.00000,0.00000,1.00000,0.84162
14,0.50000,0.12446,0.85909,0.00000,1.00000,0.00000,0.23642,1.21226,1.52128,0.68327,0.69077,0.74850,1.45504,1.25280,1.00000,1.00000,1.00000,0.85509
16,0.50017,0.12486,0.82233,0.00048,0.99987,0.00551,0.26004,1.23938,1.53979,0.68435,0.69480,0.75046,2.31777,1.82507,1.00000,1.00000,1.00000,0.87874
18,0.54679,0.22207,0.78422,0.11446,0.97912,0.10171,0.29786,1.17326,1.47667,0.69876,0.70731,0.75484,2.40790,1.70391,0.00000,0.00000,1.00000,0.81503
20,0.50175,0.12791,0.88158,0.00401,0.99948,0.01934,0.29981,1.21977,1.52121,0.69615,0.70243,0.75440,1.60956,1.51316,0.00000,1.00000,1.00000,0.86083
22,0.58708,0.29659,0.80588,0.20032,0.97383,0.15008,0.32425,1.16859,1.48102,0.70326,0.70882,0.75820,1.75120,1.41004,0.00000,1.00000,1.00000,0.81346
24,0.63832,0.41508,0.77512,0.34110,0.93555,0.19805,0.33612,1.28024,1.60873,0.69792,0.70745,0.75392,1.37778,1.35849,0.00000,1.00000,1.00000,0.92280
26,0.61518,0.34850,0.80355,0.26013,0.97022,0.18029,0.35174,1.16610,1.46507,0.71208,0.71738,0.76094,2.22763,1.49511,0.00000,1.00000,1.00000,0.80905
28,0.63591,0.39479,0.78135,0.31488,0.95695,0.19962,0.37774,1.16651,1.48408,0.70847,0.71845,0.75982,2.16325,1.52862,0.00000,1.00000,1.00000,0.80999
30,0.66164,0.44312,0.77816,0.37071,0.95257,0.22686,0.37814,1.13938,1.44370,0.71582,0.72385,0.76219,2.03449,1.58791,1.00000,1.00000,1.00000,0.78382
32,0.69171,0.50314,0.73499,0.44064,0.94277,0.25914,0.41052,1.17907,1.48053,0.71496,0.72368,0.76298,3.75994,1.98231,0.00000,1.00000,1.00000,0.82499
34,0.67348,0.46706,0.76073,0.39865,0.94831,0.23928,0.41379,1.20313,1.50763,0.70775,0.71842,0.76096,3.70843,2.11120,0.00000,1.00000,1.00000,0.84856
36,0.67860,0.47214,0.74842,0.40372,0.95347,0.24575,0.41087,1.15555,1.45829,0.71960,0.72572,0.76478,3.05173,1.78382,0.00000,1.00000,1.00000,0.80031
38,0.65793,0.42289,0.79342,0.34500,0.97087,0.22633,0.43589,1.12068,1.41434,0.72433,0.72813,0.76908,3.59254,1.76320,0.00000,1.00000,1.00000,0.76379
40,0.72297,0.56631,0.69358,0.51439,0.93155,0.29542,0.45505,1.13746,1.42833,0.71844,0.72130,0.76260,3.61829,1.71164,0.00000,1.00000,1.00000,0.78125
42,0.69773,0.50798,0.72668,0.44510,0.95037,0.26694,0.42834,1.13672,1.43408,0.73020,0.73375,0.76932,4.35225,2.20142,1.00000,1.00000,1.00000,0.78183
44,0.70672,0.52576,0.72131,0.46578,0.94767,0.27706,0.42726,1.11478,1.40880,0.73061,0.73501,0.76902,4.30075,2.11893,0.00000,1.00000,1.00000,0.75643
46,0.75448,0.63881,0.65403,0.60047,0.90848,0.33694,0.44674,1.10303,1.39736,0.73544,0.74375,0.77324,4.51965,1.68329,1.00000,1.00000,1.00000,0.74882
48,0.75401,0.63722,0.63961,0.59851,0.90951,0.33624,0.45264,1.08899,1.37989,0.74059,0.74468,0.77556,4.30075,1.84311,1.00000,1.00000,1.00000,0.73389
50,0.70202,0.51490,0.74035,0.45288,0.95115,0.27195,0.47224,1.08505,1.38530,0.74054,0.74283,0.77510,3.32214,1.86116,1.00000,1.00000,1.00000,0.72898
52,0.74019,0.60537,0.67508,0.56069,0.91970,0.31716,0.47802,1.07865,1.36689,0.74566,0.74910,0.77786,4.55828,2.10604,1.00000,1.00000,1.00000,0.72506
54,0.72253,0.55295,0.70981,0.49675,0.94831,0.29587,0.48280,1.08989,1.37892,0.74125,0.74867,0.77618,3.27063,1.53120,1.00000,1.00000,1.00000,0.73383
56,0.75461,0.62780,0.66356,0.58578,0.92343,0.33652,0.49380,1.07807,1.37846,0.74723,0.75213,0.77906,4.19774,1.86889,1.00000,1.00000,1.00000,0.72080
