Epoch,Balanced Accuracy,Accuracy,Pose Loss,Pose Recall Neg,Pose Recall Pos,MCC,PR AUC,MAE,RMSE,Pearson R,Spearman Rho,C-index,EF_1pct,EF_5pct,Success_at_1,Success_at_5,Success_at_10,Affinity Loss
2,0.50000,0.12446,0.84681,0.00000,1.00000,0.00000,0.12850,11.64045,11.82669,0.01920,0.08562,0.53172,0.74684,0.85840,0.00000,1.00000,1.00000,11.56224
4,0.50000,0.12446,0.82922,0.00000,1.00000,0.00000,0.12665,12.19405,12.36417,0.07656,0.12593,0.54114,0.75971,0.98213,0.00000,1.00000,1.00000,12.13165
6,0.50000,0.12446,0.86897,0.00000,1.00000,0.00000,0.12308,1.70374,2.10311,0.34003,0.34777,0.61466,0.97861,1.03111,1.00000,1.00000,1.00000,1.34795
8,0.50000,0.12446,0.86133,0.00000,1.00000,0.00000,0.13520,1.53719,1.94883,0.52967,0.54258,0.69140,1.33916,1.05947,0.00000,0.00000,0.00000,1.18165
10,0.50002,0.12449,0.86420,0.00004,1.00000,0.00214,0.14571,1.41090,1.74912,0.54105,0.55787,0.69544,1.15888,1.06978,0.00000,0.00000,0.00000,1.04640
12,0.50002,0.12449,0.85784,0.00004,1.00000,0.00214,0.14587,1.37021,1.72441,0.55262,0.55992,0.69434,1.26190,1.09813,0.00000,0.00000,1.00000,1.00453
14,0.50000,0.12446,0.85533,0.00000,1.00000,0.00000,0.15002,1.37677,1.72506,0.57221,0.58464,0.70708,1.05587,0.97440,0.00000,0.00000,0.00000,1.01726
16,0.50000,0.12446,0.86039,0.00000,1.00000,0.00000,0.15303,1.31528,1.64434,0.59663,0.60836,0.71380,0.99149,1.06204,0.00000,0.00000,0.00000,0.94968
18,0.50002,0.12449,0.86297,0.00004,1.00000,0.00214,0.15269,1.31559,1.64963,0.59313,0.60962,0.71374,1.15888,1.05947,0.00000,0.00000,0.00000,0.94903
20,0.50001,0.12447,0.86610,0.00002,1.00000,0.00151,0.15001,1.40510,1.74595,0.57918,0.59343,0.70850,1.13313,1.04658,0.00000,1.00000,1.00000,1.04422
22,0.50000,0.12446,0.85986,0.00000,1.00000,0.00000,0.15192,1.31408,1.64643,0.60759,0.62077,0.72104,1.09450,1.03884,0.00000,0.00000,0.00000,0.95107
24,0.50000,0.12446,0.85726,0.00000,1.00000,0.00000,0.15291,1.33277,1.66502,0.60202,0.61620,0.72042,1.05587,0.99760,0.00000,0.00000,0.00000,0.97235
26,0.50000,0.12446,0.86865,0.00000,1.00000,0.00000,0.15292,1.37781,1.72243,0.60506,0.61514,0.71522,1.18464,1.01049,0.00000,1.00000,1.00000,1.01958
28,0.50000,0.12446,0.86086,0.00000,1.00000,0.00000,0.14986,1.30295,1.64042,0.60048,0.61698,0.71378,1.03012,0.97440,0.00000,0.00000,1.00000,0.93956
30,0.50000,0.12446,0.85762,0.00000,1.00000,0.00000,0.15150,1.28359,1.61831,0.61363,0.63057,0.72334,1.18464,0.99760,0.00000,1.00000,1.00000,0.92101
32,0.50000,0.12446,0.85701,0.00000,1.00000,0.00000,0.15228,1.27700,1.61473,0.62699,0.63658,0.72632,1.21039,0.96151,0.00000,0.00000,0.00000,0.91690
34,0.50000,0.12446,0.86503,0.00000,1.00000,0.00000,0.15143,1.30929,1.63471,0.62715,0.64209,0.72350,1.00437,1.05431,0.00000,0.00000,0.00000,0.94738
36,0.50000,0.12446,0.86358,0.00000,1.00000,0.00000,0.15176,1.26742,1.59231,0.63828,0.64751,0.72951,0.97861,0.96924,0.00000,1.00000,1.00000,0.90785
38,0.50000,0.12446,0.87155,0.00000,1.00000,0.00000,0.13821,1.27960,1.59488,0.63508,0.64666,0.73000,0.96574,0.95636,0.00000,0.00000,0.00000,0.91557
40,0.50000,0.12446,0.86244,0.00000,1.00000,0.00000,0.14303,1.27822,1.59507,0.64328,0.65280,0.73292,1.01724,0.99244,0.00000,1.00000,1.00000,0.91796
42,0.50000,0.12446,0.87360,0.00000,1.00000,0.00000,0.14410,1.34203,1.66364,0.59265,0.59925,0.71150,1.06875,0.87129,0.00000,0.00000,0.00000,0.97535
44,0.50000,0.12446,0.86224,0.00000,1.00000,0.00000,0.14685,1.28538,1.62557,0.63910,0.64663,0.73138,1.06875,0.88160,0.00000,0.00000,0.00000,0.92849
46,0.50000,0.12446,0.86436,0.00000,1.00000,0.00000,0.14488,1.26954,1.58947,0.63885,0.64633,0.73010,1.00437,1.00276,0.00000,0.00000,0.00000,0.90900
48,0.50000,0.12446,0.86457,0.00000,1.00000,0.00000,0.14782,1.27484,1.60715,0.63840,0.64609,0.73144,1.08163,0.94604,0.00000,0.00000,1.00000,0.91575
50,0.50000,0.12446,0.86904,0.00000,1.00000,0.00000,0.14541,1.32853,1.66350,0.64800,0.65871,0.73490,0.91423,0.96667,0.00000,0.00000,0.00000,0.97286
52,0.50000,0.12446,0.86274,0.00000,1.00000,0.00000,0.14982,1.28225,1.59889,0.63279,0.64677,0.72855,1.04300,0.98729,0.00000,0.00000,1.00000,0.91822
54,0.50000,0.12446,0.86777,0.00000,1.00000,0.00000,0.14929,1.27970,1.60616,0.64465,0.65391,0.73510,0.99149,0.89964,0.00000,0.00000,0.00000,0.92228
56,0.50000,0.12446,0.86003,0.00000,1.00000,0.00000,0.15008,1.23311,1.55092,0.65485,0.66270,0.73972,1.01724,0.85840,0.00000,0.00000,0.00000,0.87205
58,0.50000,0.12446,0.86483,0.00000,1.00000,0.00000,0.15039,1.23740,1.55013,0.65559,0.66506,0.74206,1.08163,0.88933,0.00000,0.00000,0.00000,0.87408
60,0.50000,0.12446,0.84817,0.00000,1.00000,0.00000,0.15117,1.51849,1.88666,0.63670,0.64907,0.73140,1.04300,0.86356,0.00000,0.00000,0.00000,1.16020
62,0.50000,0.12446,0.87110,0.00000,1.00000,0.00000,0.15272,1.31794,1.64956,0.64864,0.65767,0.73114,1.10738,0.92284,0.00000,0.00000,0.00000,0.95886
64,0.50000,0.12446,0.86076,0.00000,1.00000,0.00000,0.15256,1.30104,1.63830,0.65628,0.66259,0.73864,0.93998,0.88933,0.00000,0.00000,0.00000,0.94561
66,0.50000,0.12446,0.86063,0.00000,1.00000,0.00000,0.15542,1.35597,1.69352,0.64630,0.65008,0.73226,0.86273,0.89191,0.00000,0.00000,1.00000,0.99576
68,0.50000,0.12446,0.86266,0.00000,1.00000,0.00000,0.15600,1.23753,1.55229,0.65460,0.65449,0.73362,0.79834,0.84293,0.00000,0.00000,0.00000,0.87717
70,0.50000,0.12446,0.86079,0.00000,1.00000,0.00000,0.15566,1.24871,1.56846,0.65407,0.66015,0.73516,0.84985,0.92542,0.00000,0.00000,1.00000,0.88935
72,0.50000,0.12446,0.86965,0.00000,1.00000,0.00000,0.15758,1.23520,1.54654,0.66419,0.67162,0.73918,1.15888,0.91511,0.00000,1.00000,1.00000,0.87692
74,0.50000,0.12446,0.86412,0.00000,1.00000,0.00000,0.15263,1.25258,1.58029,0.66745,0.66955,0.74178,0.86273,0.95636,0.00000,1.00000,1.00000,0.90103
76,0.50000,0.12446,0.87852,0.00000,1.00000,0.00000,0.15312,1.25243,1.57847,0.66936,0.67225,0.74518,0.87560,0.88160,0.00000,1.00000,1.00000,0.89125
78,0.50000,0.12446,0.86491,0.00000,1.00000,0.00000,0.15113,1.22349,1.53105,0.66896,0.66954,0.74054,0.73396,0.87129,0.00000,0.00000,0.00000,0.86211
80,0.50000,0.12446,0.84802,0.00000,1.00000,0.00000,0.15160,1.22777,1.54855,0.67550,0.67559,0.74392,0.69533,0.92027,0.00000,1.00000,1.00000,0.87063
82,0.50000,0.12446,0.86502,0.00000,1.00000,0.00000,0.15121,1.20939,1.52631,0.66727,0.66905,0.73722,0.88848,0.91253,0.00000,1.00000,1.00000,0.84998
84,0.50000,0.12446,0.85917,0.00000,1.00000,0.00000,0.15277,1.21632,1.53107,0.66520,0.66646,0.73860,0.74684,0.92284,0.00000,0.00000,1.00000,0.85692
86,0.50000,0.12446,0.85895,0.00000,1.00000,0.00000,0.15493,1.30193,1.64100,0.67562,0.67541,0.74052,0.69533,0.98471,0.00000,1.00000,1.00000,0.94408
88,0.50000,0.12446,0.85319,0.00000,1.00000,0.00000,0.15441,1.21137,1.51803,0.67795,0.67786,0.74320,0.78547,0.98213,0.00000,1.00000,1.00000,0.85132
90,0.50000,0.12446,0.87059,0.00000,1.00000,0.00000,0.15384,1.21940,1.52478,0.67610,0.67636,0.74248,0.77259,0.93316,0.00000,1.00000,1.00000,0.86014
92,0.50000,0.12446,0.86393,0.00000,1.00000,0.00000,0.15497,1.29617,1.62830,0.67995,0.68039,0.74690,0.91423,0.95893,0.00000,0.00000,1.00000,0.93946
94,0.50000,0.12446,0.86544,0.00000,1.00000,0.00000,0.15547,1.22401,1.52933,0.68879,0.68659,0.74954,0.84985,0.94089,0.00000,0.00000,1.00000,0.86653
96,0.50000,0.12446,0.87507,0.00000,1.00000,0.00000,0.15460,1.19426,1.50072,0.68910,0.68574,0.74898,0.96574,0.93831,0.00000,0.00000,0.00000,0.83640
98,0.50000,0.12446,0.85763,0.00000,1.00000,0.00000,0.15764,1.17853,1.48528,0.69265,0.69074,0.74828,0.83697,0.93058,0.00000,1.00000,1.00000,0.81806
100,0.50000,0.12446,0.85199,0.00000,1.00000,0.00000,0.15524,1.16967,1.47824,0.69481,0.69147,0.75030,0.83697,0.94089,0.00000,1.00000,1.00000,0.81178
