Epoch,Balanced Accuracy,Accuracy,Pose Loss,Pose Recall Neg,Pose Recall Pos,MCC,PR AUC,MAE,RMSE,Pearson R,Spearman Rho,C-index,EF_1pct,EF_5pct,Success_at_1,Success_at_5,Success_at_10,Affinity Loss
2,0.49803,0.86977,0.51207,0.99296,0.00309,-0.01614,0.11826,11.53914,11.78105,0.03329,0.03284,0.51190,0.54081,0.70116,0.00000,0.00000,0.00000,11.45595
4,0.49888,0.85965,0.60055,0.97920,0.01856,-0.00520,0.13387,12.32011,12.59287,-0.04190,-0.04322,0.48530,0.74684,0.85067,0.00000,1.00000,1.00000,12.25973
6,0.50560,0.14491,0.78788,0.02538,0.98582,0.02416,0.13750,1.91112,2.36599,0.14181,0.16044,0.54534,0.61807,0.71662,0.00000,0.00000,0.00000,1.57418
8,0.50136,0.12868,0.84253,0.00517,0.99755,0.01294,0.15616,1.67224,2.03010,0.22087,0.21318,0.56728,0.77259,0.88933,0.00000,0.00000,0.00000,1.30321
10,0.50129,0.12720,0.85894,0.00322,0.99936,0.01583,0.15438,1.66087,2.04263,0.24442,0.22767,0.57632,0.61807,0.78364,0.00000,0.00000,0.00000,1.29938
12,0.50153,0.12791,0.88707,0.00409,0.99897,0.01660,0.14223,1.89013,2.31451,0.28609,0.26827,0.58728,0.72108,0.88676,0.00000,0.00000,0.00000,1.54050
14,0.50092,0.12637,0.88173,0.00224,0.99961,0.01364,0.15434,1.63240,1.98577,0.33676,0.32975,0.61468,0.88848,0.87129,0.00000,0.00000,1.00000,1.26721
16,0.50102,0.12673,0.85850,0.00269,0.99936,0.01371,0.14443,1.78220,2.17503,0.28407,0.28905,0.59882,0.55369,0.67280,1.00000,1.00000,1.00000,1.42630
18,0.50069,0.12624,0.86394,0.00214,0.99923,0.01019,0.14880,1.63884,1.99014,0.31496,0.29415,0.60190,0.72108,0.85067,0.00000,1.00000,1.00000,1.27071
20,0.50194,0.12882,0.87951,0.00517,0.99871,0.01875,0.14788,1.60353,1.95612,0.30933,0.28381,0.59654,0.82410,0.95893,0.00000,0.00000,1.00000,1.23262
22,0.50136,0.12733,0.85841,0.00337,0.99936,0.01637,0.14997,1.60229,1.94421,0.33204,0.30960,0.60804,0.64382,0.83004,0.00000,0.00000,1.00000,1.23162
24,0.50120,0.12656,0.83560,0.00240,1.00000,0.01730,0.15591,1.64841,1.99694,0.35263,0.30814,0.60186,0.77259,0.79653,0.00000,0.00000,0.00000,1.28347
26,0.50101,0.12670,0.87166,0.00266,0.99936,0.01356,0.15449,1.56170,1.89846,0.37643,0.31767,0.60706,0.82410,0.90222,0.00000,0.00000,0.00000,1.18787
28,0.50102,0.12633,0.88159,0.00216,0.99987,0.01538,0.15688,1.57905,1.91101,0.39259,0.34347,0.61532,0.77259,0.92800,0.00000,0.00000,0.00000,1.20783
30,0.50082,0.12638,0.85534,0.00229,0.99936,0.01191,0.15256,1.56194,1.89612,0.38852,0.34930,0.61618,0.90135,0.95893,0.00000,0.00000,0.00000,1.19189
32,0.50188,0.12930,0.86598,0.00583,0.99794,0.01702,0.15783,1.56867,1.90642,0.37506,0.33432,0.61532,0.83697,0.96151,0.00000,1.00000,1.00000,1.19600
34,0.50058,0.12576,0.85653,0.00154,0.99961,0.01019,0.15665,1.61163,1.95964,0.38891,0.34688,0.61942,0.75971,0.94862,0.00000,0.00000,0.00000,1.24632
36,0.50200,0.12989,0.86234,0.00658,0.99742,0.01698,0.15752,1.64762,1.99852,0.38326,0.32801,0.61208,1.04300,0.91511,0.00000,0.00000,0.00000,1.28388
38,0.50238,0.13036,0.86054,0.00707,0.99768,0.01955,0.16383,1.55223,1.89548,0.38658,0.35558,0.62480,0.99149,0.85840,0.00000,0.00000,0.00000,1.18238
40,0.50148,0.12802,0.83545,0.00425,0.99871,0.01572,0.15984,1.54049,1.87724,0.41800,0.38000,0.62920,1.03012,0.98729,0.00000,0.00000,0.00000,1.17117
42,0.50046,0.12535,0.86547,0.00104,0.99987,0.00991,0.15988,1.58358,1.92968,0.38967,0.35090,0.62178,1.00437,0.98987,0.00000,0.00000,1.00000,1.21695
44,0.50091,0.12664,0.84929,0.00260,0.99923,0.01240,0.15749,1.52971,1.86779,0.41027,0.35891,0.62478,0.92711,1.00018,0.00000,0.00000,1.00000,1.15688
46,0.50192,0.12879,0.83929,0.00513,0.99871,0.01863,0.16214,1.64398,2.01544,0.40387,0.35947,0.62246,0.93998,0.93831,0.00000,0.00000,0.00000,1.28474
48,0.50020,0.12491,0.85533,0.00053,0.99987,0.00606,0.15501,1.53668,1.87103,0.40600,0.36576,0.62702,1.03012,0.98213,1.00000,1.00000,1.00000,1.16448
50,0.50130,0.12722,0.86955,0.00324,0.99936,0.01590,0.15562,1.65437,2.01621,0.41539,0.37219,0.62944,0.92711,0.95636,0.00000,0.00000,1.00000,1.29293
52,0.50193,0.12880,0.83416,0.00515,0.99871,0.01869,0.15631,1.52195,1.86237,0.42231,0.37353,0.62690,0.99149,0.93573,0.00000,1.00000,1.00000,1.15133
54,0.50080,0.12604,0.83233,0.00185,0.99974,0.01295,0.15758,1.53225,1.86580,0.42504,0.37793,0.62756,0.96574,1.00533,0.00000,1.00000,1.00000,1.15953
56,0.50082,0.12609,0.82782,0.00191,0.99974,0.01320,0.15374,1.55028,1.90981,0.42644,0.37954,0.62828,1.06875,1.01564,0.00000,0.00000,1.00000,1.18712
58,0.50177,0.12842,0.85549,0.00469,0.99884,0.01791,0.15591,1.52085,1.86986,0.42282,0.36817,0.62744,1.23614,1.02853,0.00000,0.00000,1.00000,1.15414
60,0.50021,0.12502,0.86219,0.00068,0.99974,0.00555,0.15879,1.53790,1.87418,0.42271,0.38624,0.63330,1.01724,1.00018,0.00000,1.00000,1.00000,1.16861
62,0.50146,0.12760,0.86512,0.00370,0.99923,0.01676,0.15552,1.56165,1.91669,0.41877,0.37149,0.62250,1.23614,1.02080,0.00000,1.00000,1.00000,1.19478
64,0.50071,0.12579,0.88693,0.00154,0.99987,0.01261,0.15958,1.51078,1.86258,0.43026,0.38534,0.63290,1.33916,1.03627,0.00000,1.00000,1.00000,1.14528
66,0.50033,0.12513,0.84326,0.00079,0.99987,0.00819,0.15586,1.57502,1.94275,0.35370,0.35469,0.62220,1.30053,0.99760,0.00000,1.00000,1.00000,1.20446
68,0.50009,0.12462,0.84430,0.00018,1.00000,0.00478,0.15776,1.55618,1.89209,0.43461,0.40911,0.63824,1.18464,1.00533,0.00000,1.00000,1.00000,1.18879
70,0.50014,0.12499,0.84670,0.00066,0.99961,0.00360,0.15340,1.52587,1.86952,0.41864,0.39164,0.63336,1.24902,0.98213,0.00000,0.00000,0.00000,1.15679
72,0.50017,0.12476,0.86044,0.00035,1.00000,0.00658,0.15699,1.68028,2.06161,0.43559,0.41256,0.63610,1.33916,1.07751,0.00000,1.00000,1.00000,1.32044
74,0.50079,0.12651,0.85729,0.00247,0.99910,0.01088,0.15235,1.51693,1.85916,0.45005,0.42233,0.64674,1.22327,1.01822,0.00000,1.00000,1.00000,1.14960
76,0.50072,0.12630,0.87201,0.00222,0.99923,0.01057,0.15647,1.58946,1.94958,0.47058,0.44007,0.65178,0.99149,1.04400,0.00000,1.00000,1.00000,1.22724
78,0.50089,0.12669,0.87324,0.00268,0.99910,0.01183,0.15475,1.47313,1.81285,0.48029,0.45853,0.65542,1.13313,1.08524,1.00000,1.00000,1.00000,1.10252
80,0.50014,0.12479,0.87590,0.00040,0.99987,0.00471,0.16012,1.50449,1.84614,0.45477,0.44557,0.65332,1.06875,0.95636,1.00000,1.00000,1.00000,1.13536
82,0.50007,0.12458,0.85673,0.00015,1.00000,0.00427,0.16228,1.45177,1.79902,0.48520,0.46815,0.65730,1.04300,1.03369,0.00000,0.00000,1.00000,1.07748
84,0.50000,0.12446,0.84735,0.00000,1.00000,0.00000,0.15364,1.49758,1.84065,0.44070,0.41034,0.64504,1.26190,1.10071,0.00000,1.00000,1.00000,1.12586
86,0.49998,0.12452,0.86147,0.00009,0.99987,-0.00125,0.16157,1.58440,1.98056,0.49094,0.47707,0.66178,0.83697,0.96409,0.00000,0.00000,0.00000,1.23000
88,0.50014,0.12470,0.86504,0.00027,1.00000,0.00585,0.15514,1.49302,1.82972,0.45071,0.41955,0.64454,1.32628,1.03884,0.00000,0.00000,1.00000,1.11990
90,0.50011,0.12484,0.82596,0.00048,0.99974,0.00341,0.15904,1.49697,1.85705,0.47351,0.44889,0.65348,1.35203,1.08524,0.00000,1.00000,1.00000,1.13397
92,0.50039,0.12534,0.85633,0.00104,0.99974,0.00844,0.16521,1.43059,1.77214,0.50140,0.48412,0.66860,1.21039,1.01049,0.00000,0.00000,1.00000,1.06041
94,0.50061,0.12611,0.86867,0.00200,0.99923,0.00941,0.16594,1.43849,1.78318,0.49877,0.48266,0.67228,0.82410,0.96151,0.00000,0.00000,1.00000,1.07536
96,0.50021,0.12511,0.82846,0.00081,0.99961,0.00505,0.15906,1.46785,1.81106,0.48220,0.45392,0.65738,1.05587,1.09813,0.00000,0.00000,0.00000,1.09741
98,0.50088,0.12677,0.86527,0.00279,0.99897,0.01144,0.16488,1.44913,1.78551,0.49001,0.47024,0.66346,1.00437,1.00533,1.00000,1.00000,1.00000,1.08164
100,0.50138,0.12755,0.83934,0.00366,0.99910,0.01585,0.16570,1.48009,1.82612,0.49908,0.48988,0.67080,0.97861,1.01307,0.00000,0.00000,1.00000,1.11431
