model,run_id,split,epoch,pose_loss,affinity_loss,balanced_acc,accuracy,recall_neg,recall_pos,mae,rmse,pearson_r,spearman_rho,c_index,pr_auc,total_loss_proxy
equibind,20260502_095137,test,2,1.193,11.7682,0.5111,0.215,0.1056,0.9165,11.8676,12.1479,0.0624,0.076,0.5235,0.1343,12.9612
equibind,20260502_095137,test,4,0.8399,11.9668,0.504,0.1429,0.0095,0.9984,12.0917,12.497,-0.2094,-0.2162,0.4264,0.1384,12.8067
equibind,20260502_095137,test,6,0.8465,1.3897,0.5021,0.1455,0.0138,0.9904,1.7812,2.1899,0.2192,0.2335,0.5759,0.1564,2.2362
equibind,20260502_095137,test,8,0.8874,1.3849,0.5006,0.136,0.0013,1.0,1.784,2.2103,0.2146,0.2273,0.5778,0.1396,2.2723
equibind,20260502_095137,test,10,0.87,1.4328,0.5005,0.1358,0.001,1.0,1.8201,2.2626,0.2132,0.2154,0.5759,0.1616,2.3028
equibind,20260502_095137,test,12,0.8704,1.3673,0.4999,0.136,0.0015,0.9984,1.739,2.1912,0.2895,0.3046,0.6009,0.1477,2.2377
equibind,20260502_095137,test,14,0.8815,1.2918,0.5015,0.1375,0.003,1.0,1.6845,2.0941,0.3251,0.3553,0.621,0.1349,2.1733000000000002
equibind,20260502_095137,test,16,0.868,1.2379,0.5,0.1349,0.0,1.0,1.6259,2.0691,0.3396,0.3608,0.6255,0.1512,2.1059
equibind,20260502_095137,test,18,0.8677,1.2463,0.5001,0.1351,0.0003,1.0,1.6303,2.0149,0.427,0.4491,0.6554,0.1448,2.114
equibind,20260502_095137,test,20,0.8622,1.2203,0.5,0.1349,0.0,1.0,1.6073,2.02,0.3864,0.4073,0.6415,0.147,2.0825
equibind,20260502_095137,test,22,0.857,1.3204,0.5,0.1349,0.0,1.0,1.6987,2.1096,0.3482,0.3676,0.6283,0.1484,2.1774
equibind,20260502_095137,test,24,0.8651,1.3434,0.5,0.1349,0.0,1.0,1.7255,2.1362,0.3664,0.3645,0.6237,0.1536,2.2085
equibind,20260502_095137,test,26,0.8612,1.1734,0.5004,0.1356,0.0008,1.0,1.5387,1.9931,0.4448,0.4463,0.6564,0.1562,2.0346
equibind,20260502_095137,test,28,0.8608,1.1799,0.5001,0.1351,0.0003,1.0,1.5612,1.9536,0.4485,0.4484,0.6491,0.1705,2.0407
equibind,20260502_095137,test,30,0.8567,1.1746,0.5,0.1349,0.0,1.0,1.5487,1.9576,0.4497,0.4688,0.6671,0.1649,2.0313
equibind,20260502_095137,test,32,0.8634,1.2646,0.5003,0.1353,0.0005,1.0,1.6416,2.063,0.3785,0.3832,0.6307,0.1513,2.128
equibind,20260502_095137,test,34,0.8681,1.1417,0.5,0.1349,0.0,1.0,1.519,1.9138,0.4854,0.4816,0.6695,0.1523,2.0098
equibind,20260502_095137,test,36,0.87,1.1474,0.5,0.1349,0.0,1.0,1.5222,1.9382,0.4872,0.4687,0.6656,0.1507,2.0174
equibind,20260502_095137,test,38,0.864,1.1333,0.5,0.1349,0.0,1.0,1.5147,1.8968,0.4988,0.4901,0.6699,0.1484,1.9973
equibind,20260502_095137,test,40,0.8641,1.2382,0.5,0.1349,0.0,1.0,1.6274,1.9904,0.5092,0.5009,0.6749,0.151,2.1023
equibind,20260502_095137,test,42,0.8673,1.1837,0.5,0.1349,0.0,1.0,1.5725,1.9292,0.526,0.5015,0.6771,0.153,2.051
equibind,20260502_095137,test,44,0.8668,1.1742,0.5001,0.1351,0.0003,1.0,1.5654,1.9261,0.4731,0.4485,0.6534,0.1444,2.041
equibind,20260502_095137,test,46,0.8719,1.0931,0.5,0.1349,0.0,1.0,1.4867,1.8472,0.5367,0.5238,0.6846,0.1512,1.9649999999999999
equibind,20260502_095137,test,48,0.8645,1.0959,0.5,0.1349,0.0,1.0,1.4777,1.8372,0.5437,0.5312,0.6845,0.152,1.9604000000000001
equibind,20260502_095137,test,50,0.8603,1.067,0.5,0.1349,0.0,1.0,1.4491,1.8354,0.5473,0.5209,0.6844,0.157,1.9272999999999998
equibind,20260502_095137,test,52,0.8627,1.047,0.5,0.1349,0.0,1.0,1.4304,1.809,0.5818,0.5602,0.7049,0.1614,1.9097
equibind,20260502_095137,test,54,0.8716,1.0852,0.5,0.1349,0.0,1.0,1.4674,1.8526,0.53,0.512,0.6784,0.156,1.9567999999999999
equibind,20260502_095137,test,56,0.8576,1.09,0.5,0.1349,0.0,1.0,1.4701,1.8285,0.5705,0.5492,0.695,0.1485,1.9476
equibind,20260502_095137,test,58,0.8574,1.1357,0.5,0.1349,0.0,1.0,1.5224,1.9035,0.5358,0.5349,0.6881,0.157,1.9931
equibind,20260502_095137,test,60,0.8698,1.0357,0.5,0.1349,0.0,1.0,1.4221,1.7849,0.5885,0.5752,0.7069,0.1575,1.9055
equibind,20260502_095137,test,62,0.8617,1.0593,0.5,0.1349,0.0,1.0,1.4502,1.8061,0.5642,0.5547,0.697,0.1505,1.9209999999999998
equibind,20260502_095137,test,64,0.8617,1.0728,0.5,0.1349,0.0,1.0,1.4496,1.8261,0.5739,0.551,0.6967,0.1501,1.9344999999999999
equibind,20260502_095137,test,66,0.8734,1.0236,0.5,0.1349,0.0,1.0,1.4047,1.7594,0.6096,0.5992,0.7151,0.1516,1.897
equibind,20260502_095137,test,68,0.8754,1.017,0.5,0.1349,0.0,1.0,1.3946,1.7504,0.6165,0.6028,0.7198,0.1572,1.8923999999999999
equibind,20260502_095137,test,70,0.8651,0.9878,0.5,0.1349,0.0,1.0,1.361,1.7234,0.6261,0.6062,0.7155,0.1533,1.8529
equibind,20260502_095137,test,72,0.8587,0.9893,0.5,0.1349,0.0,1.0,1.3705,1.7407,0.606,0.583,0.7139,0.1529,1.8479999999999999
equibind,20260502_095137,test,74,0.8625,0.9765,0.5001,0.1351,0.0003,1.0,1.36,1.7135,0.6234,0.5937,0.7108,0.1572,1.839
equibind,20260502_095137,test,76,0.8602,0.9817,0.5,0.1349,0.0,1.0,1.3742,1.7136,0.6296,0.6061,0.7188,0.1559,1.8418999999999999
equibind,20260502_095137,test,78,0.8558,1.0112,0.5,0.1349,0.0,1.0,1.4032,1.751,0.6059,0.5814,0.707,0.1543,1.867
equibind,20260502_095137,test,80,0.8645,0.9993,0.5,0.1349,0.0,1.0,1.3768,1.741,0.6045,0.5734,0.7062,0.1559,1.8638
equibind,20260502_095137,test,82,0.8632,0.9942,0.5009,0.1364,0.0018,1.0,1.3686,1.7169,0.6234,0.5927,0.7149,0.1545,1.8574
equibind,20260502_095137,test,84,0.8618,0.9597,0.5,0.1349,0.0,1.0,1.3333,1.6852,0.642,0.6151,0.7201,0.1543,1.8215
equibind,20260502_095137,test,86,0.8696,0.9881,0.5,0.1349,0.0,1.0,1.3737,1.7339,0.6169,0.598,0.7136,0.1596,1.8577
equibind,20260502_095137,train,2,1.0624,12.0,0.5095,0.2198,0.1238,0.8953,12.0669,12.3355,-0.0169,-0.0028,0.5043,0.1264,13.0624
equibind,20260502_095137,train,4,0.8397,12.2874,0.5015,0.1382,0.0178,0.9853,12.345,12.7017,-0.1602,-0.1453,0.4512,0.1355,13.1271
equibind,20260502_095137,train,6,0.8394,1.2105,0.5033,0.1444,0.0254,0.9812,1.582,1.9378,0.3828,0.347,0.6205,0.1411,2.0499
equibind,20260502_095137,train,8,0.8898,1.161,0.5002,0.1253,0.001,0.9994,1.5294,1.8817,0.4236,0.4064,0.6373,0.1272,2.0508
equibind,20260502_095137,train,10,0.8648,1.2091,0.4999,0.1263,0.0025,0.9973,1.5752,1.9283,0.4321,0.3945,0.6357,0.1469,2.0739
equibind,20260502_095137,train,12,0.867,1.1951,0.5,0.1251,0.0009,0.9991,1.5641,1.92,0.4614,0.4339,0.6488,0.1392,2.0621
equibind,20260502_095137,train,14,0.8789,1.1457,0.5,0.1246,0.0002,0.9997,1.516,1.8599,0.455,0.4252,0.6459,0.1277,2.0246
equibind,20260502_095137,train,16,0.868,1.1055,0.5,0.1245,0.0001,1.0,1.4756,1.8313,0.4668,0.459,0.6531,0.1373,1.9735
equibind,20260502_095137,train,18,0.8667,1.0546,0.5006,0.1261,0.002,0.9992,1.4206,1.7621,0.5237,0.516,0.6771,0.1432,1.9213
equibind,20260502_095137,train,20,0.8635,1.0465,0.5009,0.1273,0.0034,0.9985,1.4126,1.7585,0.5234,0.5207,0.6814,0.1489,1.9100000000000001
equibind,20260502_095137,train,22,0.8589,1.0684,0.4998,0.1244,0.0,0.9995,1.4297,1.7826,0.5147,0.5071,0.6735,0.1433,1.9273
equibind,20260502_095137,train,24,0.8628,1.0266,0.4999,0.1245,0.0001,0.9996,1.3879,1.7593,0.5485,0.5447,0.6907,0.1493,1.8894
equibind,20260502_095137,train,26,0.864,1.0348,0.5,0.1246,0.0002,0.9999,1.3994,1.768,0.5687,0.5617,0.6949,0.1474,1.8988
equibind,20260502_095137,train,28,0.8626,0.9554,0.5,0.1246,0.0002,0.9997,1.318,1.6589,0.5863,0.5781,0.7049,0.1501,1.818
equibind,20260502_095137,train,30,0.8624,1.015,0.4999,0.1245,0.0001,0.9997,1.3786,1.7208,0.5459,0.5327,0.6833,0.1447,1.8774
equibind,20260502_095137,train,32,0.8633,0.9844,0.5008,0.1262,0.0021,0.9996,1.3491,1.7033,0.5737,0.5633,0.7,0.1464,1.8477000000000001
equibind,20260502_095137,train,34,0.8725,0.9636,0.4999,0.1244,0.0,0.9999,1.3219,1.6757,0.5893,0.5771,0.7047,0.1485,1.8361
equibind,20260502_095137,train,36,0.8679,0.9913,0.5002,0.1248,0.0004,0.9999,1.3497,1.7131,0.5945,0.5923,0.7082,0.1448,1.8592
equibind,20260502_095137,train,38,0.8599,0.9502,0.5001,0.1247,0.0003,0.9999,1.3094,1.6643,0.5964,0.5925,0.7096,0.1522,1.8101
equibind,20260502_095137,train,40,0.8632,1.033,0.5,0.1245,0.0001,1.0,1.3939,1.7473,0.5939,0.5895,0.7081,0.1511,1.8961999999999999
equibind,20260502_095137,train,42,0.8628,0.9641,0.5,0.1246,0.0001,0.9999,1.3213,1.6681,0.6078,0.6028,0.7137,0.1512,1.8269
equibind,20260502_095137,train,44,0.8596,0.9266,0.5028,0.1322,0.0094,0.9961,1.2854,1.6274,0.608,0.6,0.7152,0.151,1.7862
equibind,20260502_095137,train,46,0.8643,0.9008,0.5001,0.1247,0.0003,0.9999,1.2586,1.6018,0.6268,0.6203,0.7203,0.1519,1.7651
equibind,20260502_095137,train,48,0.8618,0.9033,0.5001,0.1247,0.0003,0.9999,1.2648,1.6063,0.6221,0.6145,0.717,0.1536,1.7651
equibind,20260502_095137,train,50,0.8576,0.9255,0.5002,0.1249,0.0005,0.9999,1.2845,1.6338,0.6059,0.6017,0.7135,0.1569,1.7831000000000001
equibind,20260502_095137,train,52,0.8611,0.92,0.5,0.1245,0.0,1.0,1.2803,1.6144,0.6315,0.6228,0.7238,0.155,1.7811
equibind,20260502_095137,train,54,0.8737,0.897,0.5,0.1245,0.0,1.0,1.2581,1.612,0.6257,0.6159,0.7228,0.1557,1.7707000000000002
equibind,20260502_095137,train,56,0.8551,0.8766,0.5,0.1245,0.0001,0.9999,1.2325,1.5752,0.6427,0.6368,0.7285,0.1565,1.7317
equibind,20260502_095137,train,58,0.8588,0.9519,0.5002,0.1249,0.0005,1.0,1.3096,1.6514,0.6367,0.6364,0.7279,0.157,1.8107
equibind,20260502_095137,train,60,0.8676,0.8771,0.5,0.1245,0.0001,1.0,1.2302,1.5624,0.6468,0.6456,0.7373,0.1564,1.7447
equibind,20260502_095137,train,62,0.8624,0.8559,0.4999,0.1256,0.0015,0.9983,1.2176,1.5413,0.6606,0.6587,0.7358,0.1553,1.7183000000000002
equibind,20260502_095137,train,64,0.8603,0.8635,0.5,0.1245,0.0,1.0,1.2186,1.548,0.6661,0.6614,0.7405,0.1577,1.7238
equibind,20260502_095137,train,66,0.8665,0.8321,0.5001,0.1246,0.0001,1.0,1.1894,1.507,0.6778,0.6732,0.7382,0.1588,1.6985999999999999
equibind,20260502_095137,train,68,0.8664,0.8518,0.5001,0.1248,0.0004,0.9999,1.2044,1.5281,0.6723,0.6692,0.7384,0.1564,1.7182
equibind,20260502_095137,train,70,0.8645,0.8251,0.5,0.1245,0.0,1.0,1.1813,1.4989,0.6815,0.6818,0.7491,0.1578,1.6896
equibind,20260502_095137,train,72,0.8556,0.7999,0.5,0.1245,0.0,1.0,1.1585,1.4808,0.6928,0.688,0.7496,0.1561,1.6555
equibind,20260502_095137,train,74,0.8595,0.8088,0.5004,0.1253,0.001,0.9997,1.1637,1.4879,0.6906,0.6869,0.7492,0.1573,1.6683
equibind,20260502_095137,train,76,0.8608,0.8076,0.5,0.1245,0.0,1.0,1.1604,1.4819,0.6914,0.6898,0.7491,0.1569,1.6684
equibind,20260502_095137,train,78,0.8562,0.8009,0.5,0.1245,0.0,1.0,1.1523,1.4823,0.6944,0.6924,0.7511,0.1566,1.6570999999999998
equibind,20260502_095137,train,80,0.8602,0.7949,0.5,0.1245,0.0001,1.0,1.148,1.4732,0.6947,0.6933,0.7529,0.155,1.6551
equibind,20260502_095137,train,82,0.8604,0.7879,0.5004,0.1262,0.0022,0.9986,1.1426,1.4614,0.7017,0.7009,0.7546,0.156,1.6483
equibind,20260502_095137,train,84,0.8609,0.7679,0.5,0.1245,0.0,1.0,1.1227,1.4407,0.7117,0.7091,0.7593,0.159,1.6288
equibind,20260502_095137,train,86,0.8667,0.7802,0.5,0.1245,0.0,1.0,1.1365,1.447,0.71,0.7079,0.7573,0.1579,1.6469
geoformerdock,adhoc_geoformerdock,test,2,0.4952,1.5608,0.4865,0.8393,0.9697,0.0032,1.9261,2.3972,0.0232,0.0202,0.5052,0.1015,2.056
geoformerdock,adhoc_geoformerdock,test,4,0.4493,1.8129,0.502,0.851,0.98,0.0241,2.1686,2.676,0.0202,-0.0256,0.4897,0.1533,2.2622
geoformerdock,adhoc_geoformerdock,test,6,0.6519,1.6679,0.5953,0.6596,0.6834,0.5072,2.028,2.4197,0.6712,0.6705,0.7401,0.2045,2.3198
geoformerdock,adhoc_geoformerdock,test,8,0.7719,1.3639,0.546,0.259,0.1529,0.939,1.7283,2.0923,0.6977,0.6929,0.7513,0.2249,2.1357999999999997
geoformerdock,adhoc_geoformerdock,test,10,0.7708,1.0623,0.5683,0.314,0.22,0.9165,1.4287,1.7618,0.7158,0.7121,0.7614,0.2545,1.8331
geoformerdock,adhoc_geoformerdock,test,12,0.8817,0.8578,0.5237,0.1795,0.0523,0.9952,1.2233,1.5311,0.7191,0.7219,0.7671,0.2506,1.7395
geoformerdock,adhoc_geoformerdock,test,14,0.7805,0.8973,0.5987,0.3374,0.2408,0.9567,1.2588,1.5847,0.7267,0.7394,0.7694,0.2999,1.6778
geoformerdock,adhoc_geoformerdock,test,16,0.7511,0.8536,0.6144,0.3644,0.2721,0.9567,1.2197,1.5349,0.7331,0.7268,0.7679,0.3257,1.6047
geoformerdock,adhoc_geoformerdock,test,18,0.7049,0.823,0.6675,0.5056,0.4458,0.8892,1.1846,1.4887,0.7464,0.7425,0.7793,0.3347,1.5278999999999998
geoformerdock,adhoc_geoformerdock,test,20,0.7197,0.8213,0.6571,0.4853,0.4218,0.8925,1.1761,1.4903,0.7414,0.7399,0.7779,0.3341,1.541
geoformerdock,adhoc_geoformerdock,test,22,0.6588,0.8568,0.7117,0.6453,0.6208,0.8026,1.2154,1.5226,0.7355,0.7321,0.7706,0.3459,1.5156
geoformerdock,adhoc_geoformerdock,test,24,0.6657,0.8215,0.7068,0.5994,0.5597,0.8539,1.1902,1.4888,0.7423,0.7381,0.7722,0.3541,1.4872
geoformerdock,adhoc_geoformerdock,test,26,0.7268,0.8246,0.6789,0.489,0.4188,0.939,1.1892,1.4848,0.7382,0.7296,0.767,0.3453,1.5514000000000001
geoformerdock,adhoc_geoformerdock,test,28,0.6839,0.7976,0.7013,0.5593,0.5069,0.8957,1.1597,1.4524,0.7524,0.7459,0.7758,0.3633,1.4815
geoformerdock,adhoc_geoformerdock,test,30,0.6268,0.9169,0.723,0.6895,0.6771,0.7689,1.2902,1.5771,0.7442,0.7435,0.7724,0.3474,1.5437
geoformerdock,adhoc_geoformerdock,test,32,0.7587,0.8421,0.6343,0.4013,0.3151,0.9535,1.2107,1.5044,0.7403,0.7388,0.7746,0.3491,1.6008
geoformerdock,adhoc_geoformerdock,test,34,0.5618,0.9878,0.7088,0.7633,0.7835,0.634,1.3637,1.6691,0.7275,0.7207,0.7635,0.3506,1.5495999999999999
