model,run_id,split,epoch,pose_loss,affinity_loss,balanced_acc,accuracy,recall_neg,recall_pos,mae,rmse,pearson_r,spearman_rho,c_index,pr_auc,total_loss_proxy
geoformerdock,adhoc_geoformerdock,test,2,0.4952,1.5608,0.4865,0.8393,0.9697,0.0032,1.9261,2.3972,0.0232,0.0202,0.5052,0.1015,2.056
geoformerdock,adhoc_geoformerdock,test,4,0.4493,1.8129,0.502,0.851,0.98,0.0241,2.1686,2.676,0.0202,-0.0256,0.4897,0.1533,2.2622
geoformerdock,adhoc_geoformerdock,test,6,0.6519,1.6679,0.5953,0.6596,0.6834,0.5072,2.028,2.4197,0.6712,0.6705,0.7401,0.2045,2.3198
geoformerdock,adhoc_geoformerdock,test,8,0.7719,1.3639,0.546,0.259,0.1529,0.939,1.7283,2.0923,0.6977,0.6929,0.7513,0.2249,2.1357999999999997
geoformerdock,adhoc_geoformerdock,test,10,0.7708,1.0623,0.5683,0.314,0.22,0.9165,1.4287,1.7618,0.7158,0.7121,0.7614,0.2545,1.8331
geoformerdock,adhoc_geoformerdock,test,12,0.8817,0.8578,0.5237,0.1795,0.0523,0.9952,1.2233,1.5311,0.7191,0.7219,0.7671,0.2506,1.7395
geoformerdock,adhoc_geoformerdock,test,14,0.7805,0.8973,0.5987,0.3374,0.2408,0.9567,1.2588,1.5847,0.7267,0.7394,0.7694,0.2999,1.6778
geoformerdock,adhoc_geoformerdock,test,16,0.7511,0.8536,0.6144,0.3644,0.2721,0.9567,1.2197,1.5349,0.7331,0.7268,0.7679,0.3257,1.6047
geoformerdock,adhoc_geoformerdock,test,18,0.7049,0.823,0.6675,0.5056,0.4458,0.8892,1.1846,1.4887,0.7464,0.7425,0.7793,0.3347,1.5278999999999998
geoformerdock,adhoc_geoformerdock,test,20,0.7197,0.8213,0.6571,0.4853,0.4218,0.8925,1.1761,1.4903,0.7414,0.7399,0.7779,0.3341,1.541
geoformerdock,adhoc_geoformerdock,test,22,0.6588,0.8568,0.7117,0.6453,0.6208,0.8026,1.2154,1.5226,0.7355,0.7321,0.7706,0.3459,1.5156
geoformerdock,adhoc_geoformerdock,test,24,0.6657,0.8215,0.7068,0.5994,0.5597,0.8539,1.1902,1.4888,0.7423,0.7381,0.7722,0.3541,1.4872
geoformerdock,adhoc_geoformerdock,test,26,0.7268,0.8246,0.6789,0.489,0.4188,0.939,1.1892,1.4848,0.7382,0.7296,0.767,0.3453,1.5514000000000001
geoformerdock,adhoc_geoformerdock,test,28,0.6839,0.7976,0.7013,0.5593,0.5069,0.8957,1.1597,1.4524,0.7524,0.7459,0.7758,0.3633,1.4815
geoformerdock,adhoc_geoformerdock,test,30,0.6268,0.9169,0.723,0.6895,0.6771,0.7689,1.2902,1.5771,0.7442,0.7435,0.7724,0.3474,1.5437
geoformerdock,adhoc_geoformerdock,test,32,0.7587,0.8421,0.6343,0.4013,0.3151,0.9535,1.2107,1.5044,0.7403,0.7388,0.7746,0.3491,1.6008
geoformerdock,adhoc_geoformerdock,test,34,0.5618,0.9878,0.7088,0.7633,0.7835,0.634,1.3637,1.6691,0.7275,0.7207,0.7635,0.3506,1.5495999999999999
geoformerdock,adhoc_geoformerdock,test,36,0.6152,0.9056,0.7137,0.7003,0.6954,0.7319,1.2749,1.5798,0.7371,0.7294,0.7683,0.3637,1.5208
geoformerdock,adhoc_geoformerdock,test,38,0.7586,0.8741,0.6465,0.4153,0.3299,0.9631,1.2402,1.5378,0.7365,0.7301,0.7683,0.3648,1.6327
geoformerdock,adhoc_geoformerdock,test,40,0.6563,0.8006,0.7132,0.6046,0.5645,0.862,1.1566,1.4619,0.7509,0.7432,0.7765,0.3804,1.4569
geoformerdock,adhoc_geoformerdock,test,42,0.7433,0.8719,0.6554,0.4342,0.3524,0.9583,1.2305,1.5456,0.7233,0.7028,0.7621,0.3775,1.6152
geoformerdock,adhoc_geoformerdock,test,44,0.5152,0.9977,0.6698,0.8237,0.8806,0.4591,1.358,1.6914,0.7158,0.7061,0.7561,0.3525,1.5129000000000001
